category,recipient,ordered,designation,description,year ordered, year delivered,delivered,comments
aircraft,Chile,2,Cessna-172/T-41,Trainer/light ac,2014,2015,2,
aircraft,Chile,4,SR-22,Light aircraft,2016,2016-2017,4,
aircraft,Colombia,25,Bell-205/UH-1 Huey-2,Helicopter,1998,1999-2002,-25,Second-hand UH-1H rebuilt to UH-1H-2; aid for police anti-narcotics operations
aircraft,Colombia,6,S-70/UH-60L,Helicopter,1998,1999-2000,-6,$96 m deal (aid); for police anti-narcotics operations
aircraft,Colombia,-42,Bell-205/UH-1 Huey-2,Helicopter,-2000,2002-2003,-42,$323 m deal (part of $1.3 b 'Plan Colombia'); Second-hand UH-1H rebuilt to UH-1H-2; aid for anti-narcotics operations; incl 12 for police
aircraft,Colombia,15,Bell-212/UH-1N,Helicopter,2000,2000,15,Second-hand aircraft bought by USA and delivered to Colombia as aid; for anti-narcotics operations
aircraft,Colombia,-2,OV-10 Bronco,Ground attack ac,-2000,2002,2,Second-hand; aid
aircraft,Colombia,14,S-70/UH-60L,Helicopter,2000,2001,14,$106 m deal
aircraft,Colombia,16,S-70/UH-60L,Helicopter,2000,2001,16,$116 m deal (part of $1.3 b 'Plan Colombia' anti-narcotics aid); incl 2 for police
aircraft,Colombia,5,SA-2-37/RG-8 Condor,Reconnaissance ac,2000,2002-2003,-5,Part of $1.3 b 'Plan Colombia' anti-narcotics aid; SA-2-37B version
aircraft,Colombia,10,OV-10 Bronco,Ground attack ac,2001,2003,-10,Aid; Second-hand
