category,recipient,ordered,designation,description,year ordered, year delivered,delivered,comments
,,28,AH-64E Apache Guardian,Combat helicopter,2018,Dutch AH-64D rebuilt to AH-64E; delivery planned from 2022,,
,,4,MQ-9 Reaper,Armed UAV,2018,Delivery planned 2020,,
,,9,F-35A Lightning-2,FGA aircraft,2019,Selected but contract not yet signed by end-2019,,
,New Zealand,4,SH-2G Super Seasprite,ASW helicopter,1997,2001-2002,4,$185 m deal (offsets 36%); SH-2G(NZ) version
,,1,SH-2G Super Seasprite,ASW helicopter,1999,2003,1,$23 m deal; SH-2G(NZ) version
,,8,SH-2G Super Seasprite,ASW helicopter,2013,2014-2015,8,$242 m deal (incl $120 m for aircraft incl 2 more for spares parts only; originally produced for Australia but cancelled)
,,11,PC-9,Trainer aircraft,2014,2014-2015,11,NZD154 m ($129 m) deal; T-6C version
,,4,King Air,Light transport ac,2017,2018,-2,Lease; for training and MP
,,-5,C-130J Hercules,Transport aircraft,-2019,NZD1 b ($704 m) 'Future Air Mobility Capability' programme for replacement of C-130; selected but contract not yet signed by end-2019,,
,,4,P-8A Poseidon,ASW aircraft,2019,NZD2.3 b [$1.5 b) deal; delivery planned 2023-2025,,
,Niger,2,Cessna-208 Caravan,Light transport ac,-2013,2013,2,Part of $11 m aid; Cessna-208B version
,,1,King Air-350 ISR,AGS aircraft,-2013,2015,1,Second-hand King Air-350 probably modernized and modified to AGS aircraft before delivery 
,,2,Cessna-208 Caravan,Light transport ac,2014,2015,2,Cessna-208B surveillance version
,,-1,C-130H Hercules,Transport aircraft,-2015,Second-hand; aid; delivery planned 2020,,
,Nigeria,-3,King Air,Light transport ac,2013,2014,3,King Air-350 version
,,4,Alpha Jet,Trainer/combat ac,2014,2015-2018,4,Second-hand; Alpha Jet-A version
,Norway,4,C-130J-30 Hercules,Transport aircraft,29-Jun,2008-2010,4,$608 m deal
,,1,C-130J-30 Hercules,Transport aircraft,2012,2012,1,$83 m deal
,,5,P-8A Poseidon,ASW aircraft,2017,USD1.16 b deal; delivery planned 2021-2022,,
,Oman,12,F-16C Block-50/52,FGA aircraft,24-Jun,2005-2008,-12,$224 m deal (part of $1.1 b deal); F-16C Block-50 version
,,1,C-130J-30 Hercules,Transport aircraft,2009,2012,1,
,,2,C-130J Hercules,Transport aircraft,2010,2013-2014,2,
,,12,F-16C Block-50/52,FGA aircraft,2011,2014,12,$600m deal; F-16C Block-50 version; incl 2 F-16D version
,,5,Bell-429 GlobalRanger,Light helicopter,2015,2015-2016,-5,
,,RQ-21A Blackjack,UAV,2019,,,,
,Pakistan,5,Bell-205/UH-1 Huey-2,Helicopter,-2001,2002,5,Second-hand UH-1H rebuilt to Huey-2 before delivery; part of $73 m US; for Ministry of Interior; aid for Afghan border patrol and anti-narcotics operations
,,3,Cessna-208 Caravan,Light transport ac,-2001,2002,-3,For Ministry of Interior; aid for Afghan border patrol and anti-narcotics operations
,,-40,T-37B,Trainer aircraft,2003,2009-2012,-40,Second-hand; aid; possibly modernized before delivery; probably 19 more delivered for spare parts
,,-12,AH-1F Cobra,Combat helicopter,2004,2007,-12,Second-hand but modernized before delivery; $48 m 'FMF' aid; 20-28 more for spare parts only
,,26,Bell-412,Helicopter,2004,2004-2005,26,Originally $230 m deal for 2 year lease but given to Pakistan in 2007 (financed with 'CSF' aid); from Canadian production line; for use in 'war on terrorism'; incl some for police; Bell-412EP version
,,6,C-130E Hercules,Transport aircraft,2004,2005-2007,-6,Second-hand aircraft sold back to US producer and sold to Pakistan; $64 m or $76 m deal (financed with 'FMF' aid); modernized before delivery; 1 more for spares only
,,14,F-16A,FGA aircraft,2005,2005-2008,14,"Second-hand (but only used 2-4 years); originally produced for Pakistan but delivery embargoed 1988, taken over by USA 2002 and after few years given as aid to Pakistan); aid"
,,7,P-3CUP Orion,ASW aircraft,2005,2007-2012,7,Second-hand P-3C rebuilt to P-3CUP (paid with $970 m US 'SAP' aid); first 2 delivered without complete systems (to be installed later)
,,4,Bell-205/UH-1 Huey-2,Helicopter,-2007,2008,-4,Second-hand UH-1H rebuilt to Huey-2 before delivery; for Ministry of Interior; aid for Afghan border patrol and anti-narcotics operations
,,18,F-16C Block-50/52,FGA aircraft,2007,2010,18,$1.4 b 'Peace Drive 1' deal (part of $3.1 b deal); incl 6 F-16D
,,5,Bell-205/UH-1 Huey-2,Helicopter,-2008,2009,5,Second-hand UH-1H rebuilt to Huey-2 before delivery; for Ministry of Interior; aid for Afghan border patrol and anti-narcotics operations
,,2,King Air-350 ISR,AGS aircraft,2008,2011,2,King Air-350 version; aid
,,2,Bell-412,Helicopter,2009,2010,2,"$23-24 m aid, Bell-412EP version"
,,10,Mi-8MT/Mi-17,Transport helicopter,2009,2009,10,Second-hand; Mi-17 version; incl 6 on 5-year lease; aid
,,1,RH-800RA/SIG,Reconnaissance ac,2009,2010,1,Hawker-850XP version
,,2,King Air-350 ISR,AGS aircraft,-2011,2013-2018,-2,King Air-350 ISR version; aid
,,-1,King Air,Light transport ac,-2013,2013,1,Second-hand; King Air-350i version
,,15,ScanEagle,UAV,-2013,2015,-15,$30 m 'FMF' aid
,,1,Cessna-208 Caravan,Light transport ac,2014,2015,1,Cessan-208B EX version
,,2,Cessna-208 Caravan,Light transport ac,2015,2016,2,Cessan-208B EX version
,,2,Cessna-208 Caravan,Light transport ac,-2015,2016,2,Cessna-208B EX version
,,2,Cessna-208 Caravan,Light transport ac,2016,2016,2,Part of $14 m deal; Cessna-208B EX version; incl for medevac
,,4,Cessna-U206,Light aircraft,2016,2017,4,Part of $1§4 m deal; Cessna-206H version
,Panama,1,Bell-412,Helicopter,30-Jun,2009,1,Part of $14 m deal (financed by Taiwan); for police; Bell-412EP version; from Canadian production line
,,3,Bell-412,Helicopter,2010,2012,3,$24 m deal; for police; Bell-412EP version; from Canadian production line
,,1,King Air-350 ISR,AGS aircraft,-2017,2018,1,$9.5 m deal; for coast guard
,Paraguay,2,Cessna-208 Caravan,Light transport ac,2-Jul,2011-2012,2,$3-7 m deal
,,2,Cessna-U206,Light aircraft,2012,2012-2013,2,Second-hand; $1.1 m deal; Cessna-T206H version
,Peru,1,Cessna-208 Caravan,Light transport ac,-2001,2001,1,
,,2,A-37B Dragonfly,Ground attack ac,2002,2002,2,Second-hand; loan; for anti-narcotics operations; OA-37B version
,,14,Bell-205/UH-1 Huey-2,Helicopter,2002,2003-2004,-14,$21 m deal; Peruvian police UH-1H rebuilt to Huey-2; aid
,,-2,Citation-2,SIGINT aircraft,2002,2002,-2,Second-hand; loan for anti-narcotics operations
,,16,Bell-205/UH-1 Huey-2,Helicopter,-2004,2004-2005,-16,Second-hand UH-1H rebuilt to Huey-2; aid for police anti-narcotics operations
,,-7,Bell-205/UH-1 Huey-2,Helicopter,-2004,2006,-7,Second-hand UH-1H rebuilt to Huey-2; aid for police anti-narcotics operations
,,6,F-28,Light helicopter,2008,2009,6,F-28F version
,,1,Cessna-208 Caravan,Light transport ac,2009,2009,1,Second-hand
,,6,S-61/H-3A Sea King,Transport helicopter,2009,2010-2013,-6,Second-hand; $6 m deal; UH-3H version
,,1,Beech-1900/C-12J,Light transport ac,-2010,2011,1,"Second-hand, Beech-1900D version"
,,2,Cessna-172/T-41,Trainer/light ac,-2010,2011,2,
,,-2,R-44,Light helicopter,2010,2011,-2,For training
,,1,Learjet-45,Light transport ac,-2013,2013,1,Second-hand; Learjet-45XR version
,,7,Cessna-172/T-41,Trainer/light ac,-2015,2015,7,Cessna-172SP version
,,2,F-28,Light helicopter,-2015,2015,2,F280FX version
,,-1,PA-44 Seminole,Light aircraft,-2015,2015,1,
,Philippines,8,Bell-205/UH-1H,Helicopter,23-Jun,2002-2003,8,Second-hand; aid
,,1,C-130B Hercules,Transport aircraft,-2001,2001,1,Second-hand; aid
,,20,Bell-205/UH-1H,Helicopter,2003,2007-2008,-20,Second-hand; part of $30 m aid (10 more delivered for spare parts)
,,-16,Bell-205/UH-1H,Helicopter,2003,2004-2005,-16,Second-hand; ordered and delivered via Singapore; modernized in Singapore before delivery; part of $12 m deal
,,-6,Bell-205/UH-1H,Helicopter,2003,2006-2007,-6,Second-hand but modernized before delivery; $8.2 m deal
,,1,Nomad,Light transport ac,2004,2004,1,Second-hand; aid
,,5,Bell-205/UH-1H,Helicopter,-2009,2011,5,Second-hand; possibly modernized before delivery
,,2,Hunter,UAV,-2009,2009,2,Second-hand
,,-7,Bell-205/UH-1H,Helicopter,2013,2014,-7,Second-hand but modernized before delivery; originally PHP1.25 b deal for 21 but 14 cancelled due to delivery delays
,,-6,Bell-412,Helicopter,2014,2015,-6,Part of $105 m deal; Bell-412EP version; from Canadian production line; 2 more delivered for government VIP transport
,,2,C-130H Hercules,Transport aircraft,-2014,2016,2,Second-hand; $56 m deal (incl $20 m aid); C-130T version
,,-2,Cessna-208 Caravan,Light transport ac,2016,2017,2,Cessna-208B surveillance version
,,6,ScanEagle,UAV,2017,2018,6,$13.8 m 'FMF' aid; ScanEagle-2 version
,,1,G280,Light transport ac,2018,PHP2 b deal; for VIP transport,,
,,16,S-70/UH-60L,Helicopter,2019,$241 m 'CUH' programme (replacing cancelled order for Bell-412 from Canada); from Polish production line,,
,,8,ScanEagle,UAV,2019,'Maritime Security Initiative' aid,,
,Poland,4,SH-2G Super Seasprite,ASW helicopter,23-Jun,2002-2003,4,Second-hand; aid (re-activation and training paid with $20-22 m US 'CEDL' loan)
,,5,C-130E Hercules,Transport aircraft,-2004,2009-2012,5,Second-hand; $120 m 'FMF' aid; modernized to C-130H before delivery
,,2,C-130E Hercules,Transport aircraft,2009,2009,2,Second-hand; 11-month lease for training and use in Afghanistan
,,-10,ScanEagle,UAV,2010,2011,-10,$7.2 m aid; for use in Afghanistan
,,-2,ScanEagle,UAV,2010,2010,-2,1 year lease for use in Afghanistan
,,-5,RQ-21A Blackjack,UAV,2018,2018,5,
,,5,C-130H Hercules,Transport aircraft,2019,Second-hand; selected but not yet ordered end-2019,,
,,32,F-35A Lightning-2,FGA aircraft,-2019,$4.6 b deal; delivery planned 2024-2030,,
,Portugal,20,F-16C,FGA aircraft,1998,2003-2012,-20,$268 m 'Peace Atlantis-2' deal (incl aircraft as aid and 5 more for spares); second-hand F-16OCU rebuilt to F-16AM (F-16C) in Portugal with kits from USA; incl 4 F-16B version
,,-3,F-16C,FGA aircraft,-2013,2019,-1,Second-hand F-16A Block-15 version (incl 1 F-16B version) rebuilt to F-16AM (F-16C) in Portugal with kits from USA
,Qatar,4,C-130J-30 Hercules,Transport aircraft,30-Jun,2011,4,$394 m deal
,,2,C-17A Globemaster-3,Heavy transport ac,2008,2009,2,$400 m deal
,,2,C-17A Globemaster-3,Heavy transport ac,-2010,2012,2,
,,24,AH-64E Apache Guardian,Combat helicopter,-2014,2019,-16,QAR8.9 b ($2.4 b) deal; option on 24 more; delivery planned 2019-2020
,,4,C-17A Globemaster-3,Heavy transport ac,2015,2015-2016,-4,
,,36,F-15 Advanced Eagle,FGA aircraft,2017,$12 b deal; F-15QA version; option of 36 more; delivery planned 2020-2022/2023,,
,Romania,-60,Shadow-600,UAV,-1997,1999-2000,-60,$23 m deal
,,5,Shadow-600,UAV,2000,2001,-5,$7.5 m deal
,,1,C-130H Hercules,Transport aircraft,2004,2007,1,Second-hand aircraft sold back to US producer; $7.8 m deal (part of $55 m deal incl modernization of 4 Romanian C-130B and $16 m' FMF' aid); modernized before delivery
,Saudi Arabia,-2,RE-3,SIGINT aircraft,-1998,2004,-2,Saudi KE-3A tanker aircraft rebuilt to RE-3 ELINT/SIGINT aircraft
,,-16,Bell-412,Helicopter,2001,2002-2003,-16,Bell-412SA or Bell-412RSAF version; from Canadian production line
,,1,RE-3,SIGINT aircraft,-2004,2007,1,Second-hand E-8B AGS aircraft rebuilt to RE-3
,,4,Citation-2,Light transport ac,-2005,2005-2006,4,
,,16,S-92/H-92 Superhawk,Transport helicopter,2007,2008-2010,-16,For police; incl for civilian police use
,,12,AH-64D Apache,Combat helicopter,2008,2011,-12,Incl 11 Saudi AH-64A rebuilt to AH-64D version
,,22,S-70/UH-60L,Helicopter,2008,2010-2011,-22,$286 m deal
,,12,AH-64E Apache Guardian,Combat helicopter,-2009,2014-2015,-12,
,,2,King Air-350 ISR,AGS aircraft,-2009,2011,2,
,,9,Schweizer-330,Light helicopter,2009,2009,-9,S-434 version
,,13,S-70/UH-60L,Helicopter,2010,2012-2013,-13,Saudi UH-60A rebuilt to UH-60L
,,3,S-70/UH-60L,Helicopter,2010,2011,3,S-70i version; from Polish production line; for police
,,-24,AH-64E Apache Guardian,Combat helicopter,-2011,2015-2016,-24,
,,84,F-15 Advanced Eagle,FGA aircraft,2011,2016-2019,-84,Part of $29 b deal; F-15SA version
,,70,F-15 Advanced Eagle,FGA aircraft,2011,2016,2,Part of $29 b deal; Saudi F-15S rebuilt to F-15SA; delivery planned 2016-2026
,,2,S-70/UH-60L,Helicopter,2011,2012,2,$27 m deal
,,12,S-70/UH-60L,Helicopter,2011,2013-2014,-12,Saudi UH-60A rebuilt to UH-60L version
,,12,AH-64E Apache Guardian,Combat helicopter,-2012,2015,-12,For National Guard
,,-9,King Air,Light transport ac,2012,2013-2014,-9,King Air-350 version
,,1,King Air,Light transport ac,2012,2013,1,Second-hand but probably modernized before delivery; King Air-350 version
,,4,King Air-350 ISR,AGS aircraft,-2012,2015-2016,-4,
,,-12,MD-500E,Light helicopter,2012,2013,12,$41 m deal; MD-530F version; for National Guard; for training
,,24,S-70/UH-60L,Helicopter,2012,2014-2015,-24,For National Guard; UH-60M version
,,2,KC-130J Hercules,Tanker/transport ac,2013,2016,2,$181 m deal
,,25,SR-22,Light aircraft,2013,2013,25,Ordered via UK company (as part of GBP1.6 b deal); for training
,,24,AH-6S,Combat helicopter,2014,2016-2018,-24,$235 m deal; AH-6i version; for National Guard
,,10,MH-60R Seahawk,ASW helicopter,2015,2018-2019,-10,
,,-2,King Air-350 ISR,AGS aircraft,2016,2019,-1,$71 m deal: delivery by 2020
,,8,S-70/UH-60L,Helicopter,2016,2017,-8,
,,24,AH-64E Apache Guardian,Combat helicopter,2017,Delivery planned by 2022,,
,,8,CH-47F Chinook,Transport helicopter,2017,Delivery planned by 2021,,
,,40,S-70/UH-60L,Helicopter,2017,2018-2019,-20,UH-60M version; including 8 for National Guard
,,-30,S-70/UH-60L,Helicopter,-2017,,,
,Senegal,2,King Air,Light transport ac,-2011,2011,2,Second-hand; King Air B-200 version; incl for civilian use
,Serbia,1,PA-34 Seneca,Light transport ac,1-Jul,2012,1,$3.5 m deal; PA-34-220T Seneca-5 version; incl for training and aerial survey
,Singapore,12,F-16C Block-50/52,FGA aircraft,1997,1999-2000,-12,$350 m 'Peace Carvin-3' deal; F-16CJ Block-52 version; incl 2 F-16DJ
,,4,KC-135 Stratotanker,Tanker/transport ac,1997,1999-2000,-4,Second-hand; $280-500 m 'Peace Guardian' deal; modernized to KC-135R before delivery
,,6,CH-47D Chinook,Transport helicopter,1998,2000,6,CH-47SD version
,,8,AH-64D Apache,Combat helicopter,1999,2002,-8,Part of $629 m 'Peace Vanguard' deal (incl $26 m for Longbow radars); stationed in USA until 2006
,,2,CH-47D Chinook,Transport helicopter,1999,2001,-2,CH-47SD version
,,2,CH-47D Chinook,Transport helicopter,1999,2000,2,CH-47SD version
,,20,F-16C Block-50/52,FGA aircraft,-2000,2004-2005,-20,'Peace Carvin-4' deal; F-16D Block-52+ version
,,2,S-70/UH-60L,Helicopter,2000,2002,-2,
,,12,AH-64D Apache,Combat helicopter,2001,2005,-12,$617 m 'Peace Vanguard' deal; stationed in USA until 2006
,,12,F-15E Strike Eagle,FGA aircraft,2005,2009-2010,-12,$1 b 'NFRP' or 'Peace Carvin 5' programme; F-15SG version
,,6,S-70B/SH-60B Seahawk,ASW helicopter,2005,2009-2010,-6,SH-70(N) version
,,12,F-15E Strike Eagle,FGA aircraft,2007,2010-2012,-12,$1 b deal; F-15SG version
,,4,G-550 AEW,AEW&C aircraft,2007,2009-2011,4,Ordered and delivered via Israel; AEW systems fitted in Israel
,,1,Gulfstream-5,Light transport ac,2008,2012,1,G-550 version; for civilian company for 20 year training of Singaporean air force pilots
,,8,F-15E Strike Eagle,FGA aircraft,-2010,2013,-8,F-15SG version
,,-12,ScanEagle,UAV,-2011,2012-2013,-12,For modernized Victory corvettes
,,2,S-70B/SH-60B Seahawk,ASW helicopter,2013,2018,2,
,,8,F-15E Strike Eagle,FGA aircraft,-2014,2016-2017,-8,F-15SG version
,,-10,CH-47F Chinook,Transport helicopter,-2016,Delivery planned from 2020,,
,,4,F-35B Lightning-2,FGA aircraft,-2019,Selected but contract not yet signed by end-2019,,
,Slovakia,9,S-70/UH-60L,Helicopter,2015,2017-2019,-9,$261 m deal; UH-60M version
,,14,F-16V,FGA aircraft,2018,EUR1.6 b ($1.8 b) deal; delivery planned 2022-2024,,
,Somalia,3,S-2RT,Light aircraft,-2013,2013,-3,Second-hand; for Puntland maritime police
,South Korea,8,RH-800RA/SIG,Reconnaissance ac,1996,2000-2001,-8,$461 m 'Paekdu/Peace Pioneer' and 'Peace Krypton' deals; incl 4 RH-800RA ground surveillance and RH-800SIG SIGINT version; deal temporarily suspended in 1998 after corruption charges
,,-4,Shadow-400,UAV,2000,2001-2002,-4,
,,8,P-3CUP Orion,ASW aircraft,2005,2010,8,$493-550 m deal; second-hand P-3B rebuilt to P-3CK (P-3CUP); 1 more for spares only
,,4,C-130J-30 Hercules,Transport aircraft,2010,2014,4,
,,36,AH-64E Apache Guardian,Combat helicopter,2013,2016-2017,-36,$1.6 b 'AH-X' programme
,,14,CH-47D Chinook,Transport helicopter,-2013,2014,14,Second-hand; KRW150 b ($130-151 m) deal
,,40,F-35A Lightning-2,FGA aircraft,2014,2018-2019,-16,KRW7.3 tr ($7 b) 'FX-3' programme (offsets incl technology transfer); delivery planned 2018-2021
,,6,P-8A Poseidon,ASW aircraft,2019,,,
,Spain,24,F/A-18A Hornet,FGA aircraft,1995,1995-2000,-24,Second-hand; $288 m deal; modernized to F/A-18A+ (EF-18A+) before delivery; option on 6 more not used; Spanish designation C-15
,,1,AV-8B Harrier-2,FGA aircraft,-1999,2000,1,Second-hand AV-8B rebuilt to TAV-8B before delivery
,,-5,AV-8B Harrier-2 Plus,FGA aircraft,2000,2002-2004,-5,Spanish AV-8B rebuilt to AV8B Plus
,,6,S-70B/SH-60B Seahawk,ASW helicopter,2000,2002-2003,6,Part of $77 m deal; SH-60B Block-1 version; Spanish designation HS-23
,,2,S-70/UH-60L,Helicopter,-2015,2017,-2,Second-hand SH-60F ASW version modified to transport version before delivery; EUR40 m deal; Spanish designation HT-23
,,4,MQ-9 Reaper,UAV,2016,2019,-4,EUR158-161 m ($177 m) deal
,,2,S-70/UH-60L,Helicopter,2017,Second-hand SH-60F ASW version modified to transport version before delivery; delivery planned 2021,,
,,17,CH-47F Chinook,Transport helicopter,2018,EUR1.1 b deal; Spanish CH-47D rebuilt to CH-47F version,,
,,2,S-70/UH-60L,Helicopter,-2019,Second-hand SH-60F ASW version modified to transport version before delivery; EUR36 m deal; delivery planned 2022-2023,,
,Sri Lanka,2,Bell-412,Helicopter,2000,2000,2,$9 m deal; incl for VIP transport; Bell-412EP version; from Canadian production line
,,1,King Air HISAR,AGS aircraft,2000,2002,1,For use against LTTE rebels
,,-2,Bell-412,Helicopter,-2010,2011,2,
,Sweden,1,Gulfstream-4,Light transport ac,2000,2000,1,Second-hand
,,8,RQ-7 Shadow-200,UAV,2010,2011,8,$31 m deal (part of $77 m deal incl 3-year training and support by Swedish company); Swedish designation AUV-3
,,15,S-70/UH-60L,Helicopter,2011,2011-2013,-15,$207 m deal; UH-60M version; Swedish designation Hkp-16A
,Switzerland,1,Centaur,Light aircraft/UAV,4-Jul,2012,1,For testing of sensors and UAV technologies
,Taiwan,-21,AH-1W SuperCobra,Combat helicopter,1997,2000-2002,-21,$479 m deal
,,11,S-70B/SH-60B Seahawk,ASW helicopter,1997,2000-2001,-11,S-70C(M)-2 Thunderhawk version
,,13,Bell-206/OH-58D(I),Combat helicopter,1999,1999-2001,-13,Assembled from kits in Taiwan
,,9,CH-47D Chinook,Transport helicopter,1999,2002-2003,-9,$300-486 m deal; CH-47SD version
,,2,E-2C Hawkeye-2000,AEW&C aircraft,1999,2005,2,$400 m deal; E-2T/Hawkeye-2000 version
,,12,P-3CUP Orion,ASW aircraft,-2008,2012-2015,-12,$664 m deal (offsets 70%); second-hand P-3C rebuilt to P-3CUP
,,30,AH-64E Apache Guardian,Combat helicopter,-2010,2012-2014,-30,$2 b deal
,,4,S-70/UH-60L,Helicopter,2011,2014,-4,UH-60M version; $49 m deal
,,-45,S-70/UH-60L,Helicopter,-2012,2014-2019,-45,UH-60M version
,,66,F-16V,FGA aircraft,2019,NTD247 b deal; delivery planned by 2026,,
,Thailand,20,Bell-212/UH-1N,Helicopter,1993,1997-2000,-20,$130 m deal; from Canadian production line
,,16,F-16A,FGA aircraft,2000,2002-2003,-16,Second-hand but modernized before delivery; $130-157 m 'Peace Naresuan-4' deal (incl 2 more for spare parts only); F-16 Block-15 version; incl 1 F-16B version
,,30,Bell-205/UH-1H,Helicopter,2001,2002-2004,-30,Second-hand but modernized before delivery; $30 m aid
,,3,S-70/UH-60L,Helicopter,2001,2001-2002,-3,$30-36 m deal; for patrol and anti-narcotics operations along border with Myanmar
,,-4,S-70/UH-60L,Helicopter,2003,2004-2005,4,THB3 b deal
,,-4,AH-1F Cobra,Combat helicopter,-2005,2011-2012,-4,Second-hand but modernized before delivery; aid
,,2,S-70/UH-60L,Helicopter,2007,2011,2,$58 m deal; MH-60S version; bought after 2004 natural disaster as reaction to lack of helicopters for SAR
,,1,Aeros-40 Sky Dragon,Airship,2009,2009,1,Part of $9.7 m deal; Aeros-40D version; for reconnaissance/ground surveillance role
,,2,Bell-214,Helicopter,-2010,2011,2,Second-hand; Bell-214EP version
,,16,Enstrom-480,Light helicopter,2010,2011-2012,16,THB1.2 b ($40 m) deal; for training
,,3,S-70/UH-60L,Helicopter,2012,2013,3,Possibly THB2.8 b ($90 m) deal; UH-60M version
,,-3,S-70/UH-60L,Helicopter,2012,2014,3,UH-60M version
,,1,Saab-340,Transport aircraft,2012,2012,1,Second-hand
,,-1,S-70/UH-60L,Helicopter,2013,2016,1,$11.4 m deal; UH-60M version
,,2,Saab-340,Transport aircraft,2016,2017,2,Second-hand; probably for modification to SIGINT aircraft
,,8,AH-6S,Combat helicopter,-2019,AH-6i version; selected 2019 but not yet ordered by end-2019,,
,Trinidad and Tobago,2,Metro-3/C-26,Transport aircraft,1998,2000,2,Second-hand; aid; C-26B version
,,2,PA-31 Navajo,Light transport ac,2000,2000-2001,-2,Second-hand but modernized before delivery; aid
,,4,AW139,Helicopter,2009,2011-2012,4,$348 m deal (incl training and 5 year support)
,Tunisia,1,C-130B Hercules,Transport aircraft,-2001,2002,1,Second-hand
,,-10,Bell-205/UH-1H,Helicopter,2006,2008-2011,-10,Second-hand; aid; modernized before delivery
,,2,C-130J-30 Hercules,Transport aircraft,2010,2013-2014,2,
,,8,S-70/UH-60L,Helicopter,2015,2017-2018,8,UH-60M version
,,24,Bell-206/OH-58D(I),Combat helicopter,2016,2016-2017,-24,Second-hand; aid; OH-58D version
,,3,Bell-429 GlobalRanger,Light helicopter,-2016,2017,3,For National Guard
,,12,MX-7,Light aircraft,2016,2016,12,Aid (for protection of border with Libya)
,,4,S-70/UH-60L,Helicopter,2016,2019,-2,$38 m deal; delivery 2019/2020
,Turkey,8,S-70B/SH-60B Seahawk,ASW helicopter,1998,2002,-8,S-70B-28 version
,,50,S-70/UH-60L,Helicopter,1999,1999-2002,-50,"$561 m deal (offsets $110 m); originally ordered 1992, but deal suspended 1994-1999 for financial reasons and as reaction to US policy towards Turkish actions against Kurds; S-70A-28 and S-70A-28D versions; Turkish designation Karaku"
,,2,S-70/UH-60L,Helicopter,2003,2004,-2,$27 m deal; Turkish designation Karaku
,,17,S-70B/SH-60B Seahawk,ASW helicopter,2006,2012-2014,-17,Part of $500 m deal (mainly financed with US loan; offsets 50%); delivery delayed from 2009-2010
,,46,Cessna-180 Skywagon,Light aircraft,2009,2009-2010,46,Cessna-T182T Skylane version; for training
,,3,AH-1W SuperCobra,Combat helicopter,2011,2012,3,Second-hand
,,6,CH-47F Chinook,Transport helicopter,-2011,2016,6,$400 m deal
,,5,King Air,Light transport ac,2012,2012,5,Second-hand King Air-350 version but modified to surveillance aircraft before delivery; $70 m 2-year lease (extended after 2 years)
,,4,CH-47F Chinook,Transport helicopter,2015,2018-2019,-4,Part of $131 m deal
,UAE,80,F-16E,FGA aircraft,2000,2004-2008,-80,$5 b deal (incl $400 m for engines; $3 b advance payments incl for development of avionics and radar; part of $6.8 b deal); incl 25 F-16F version
,,2,C-130H-30 Hercules,Transport aircraft,2001,2001-2002,-2,Second-hand; L-100-30 version; modernized in UK before delivery
,,8,Cessna-208 Caravan,Light transport ac,-2005,2005-2007,8,Cessna-208B version
,,30,AH-64D Apache,Combat helicopter,2007,2008-2009,-30,Part of $1.5 b deal; UAE AH-64A rebuilt to AH-64D Longbow version
,,4,Dash-8,Transport aircraft,2007,2007,4,Second-hand; for conversion to maritime patrol aircraft
,,10,S-70/UH-60L,Helicopter,2007,2008,10,S-70A version
,,4,CH-47F Chinook,Transport helicopter,2008,2010,4,
,,10,S-70/UH-60L,Helicopter,-2008,2009-2010,-10,
,,6,C-17A Globemaster-3,Heavy transport ac,-2009,2011-2012,-6,
,,14,S-70/UH-60L,Helicopter,2009,2012-2013,-14,$209 m deal; UH-60M armed version
,,24,AT-802U,Ground attack ac,2010,2010-2014,24,
,,1,F-16E,FGA aircraft,2010,2012,1,
,,26,S-70/UH-60L,Helicopter,2010,2011-2012,-26,Armed UH-60M version
,,-12,CH-47F Chinook,Transport helicopter,2011,2012-2015,-12,
,,30,Bell-407,Light helicopter,-2013,2014-2016,-30,Bell-407MRH or Bell-407GX armed version
,,24,Archangel-BPA,Ground attack ac,2014,2015-2017,-24,Assembled in UAE
,,-10,RQ-1 Predator,UAV,-2014,2017,-10,AED722 m ($200 m) deal; Predator XP (RQ-1E) version
,,2,C-17A Globemaster-3,Heavy transport ac,2015,2015,2,AED2.3 b deal
,,17,AH-64E Apache Guardian,Combat helicopter,2018,Including 8 UAE AH-64D rebuilt to AH-64E,,
,Uganda,1,L-39Z Albatros,Trainer/combat ac,-2009,2009,1,
,,2,Cessna-208 Caravan,Light transport ac,2014,2015,2,Aid; Cessna-208B version
,,5,Bell-205/UH-1 Huey-2,Helicopter,2016,2017,5,$35 m aid; second-hand UH-1H rebuilt to UH-1H-2 before delivery
,United Kingdom,15,C-130J-30 Hercules,Transport aircraft,1990,1999-2001,-15,Part of $1.56 b deal (offsets 100%); UK designation Hercules C-4
,,10,C-130J Hercules,Transport aircraft,1994,1998-2000,-10,Part of $1.56 b deal (offsets 100%); UK designation Hercules C-5
,,8,MH-47E Chinook,Transport helicopter,1995,2000-2001,-8,GBP259 m ($365 m) deal; delivery delayed from 1998 to 2001 because of technical problems and kept in storage after delivery (never used operationally); originally delivered as MH-47E (Chinook HC-3) armed special operations version but due to technical pro
,,4,C-17A Globemaster-3,Heavy transport ac,2000,2001,4,GBP650 m-GBP1 b 'STSA' 7-year lease (incl $230 m for training and support; bought after lease); C-17 Block-12 version
,,6,Bell-412,Helicopter,2002,2002-2003,-6,Operated by civilian company for the UK armed forces pilot training and for SAR at UK base on Cyprus; Bell-412EP version; UK designation Griffin HT-1 and HAR-3; from Canadian production line
,,7,King Air,Light transport ac,-2002,2003-2004,7,Bought and operated by civilian company for training of UK pilots; King Air B-200 version
,,1,C-17A Globemaster-3,Heavy transport ac,2006,2008,1,Delivery 2008
